El Monte,CA,California,34.0739,-118.0291,113917
Deltona,FL,Florida,28.905,-81.2137,205914
Fullerton,CA,California,33.8841,-117.9279,141061
Henderson,NV,Nevada,36.0133,-115.0381,309955
Harrisville,WV,West Virginia,39.2104,-81.0485,1975
Tickfaw,LA,Louisiana,30.5769,-90.4871,927
West Point,IL,Illinois,40.2556,-91.1836,219
McAllen,TX,Texas,26.2252,-98.2467,805270
Fort Worth,TX,Texas,32.7817,-97.3474,892221
West Jordan,UT,Utah,40.6024,-112.0008,115181
Huntington,WV,West Virginia,38.4109,-82.4345,199133
Olive Branch,MS,Mississippi,34.961,-89.8469,38270
Duluth,MN,Minnesota,46.7756,-92.1393,117934
East New Market,MD,Maryland,38.597,-75.9232,323
Norman,OK,Oklahoma,35.2335,-97.3471,112576
Plano,TX,Texas,33.0502,-96.7486,288870
North Aurora,IL,Illinois,41.8086,-88.3414,18089
Rome,IA,Iowa,40.982,-91.6817,70
Garden Grove,CA,California,33.7787,-117.9601,172800
Oroville,WA,Washington,48.9419,-119.4305,1842
Severn,MD,Maryland,39.1355,-76.6956,53374
Shorewood,WI,Wisconsin,43.0913,-87.8864,13248
Oracle,AZ,Arizona,32.6085,-110.7826,3932
Security-Widefield,CO,Colorado,38.7489,-104.7142,38645
Lott,TX,Texas,31.206,-97.0334,714
Des Allemands,LA,Louisiana,29.8162,-90.4746,1976
Melbourne,FL,Florida,28.1086,-80.6627,82281
Bangor,CA,California,39.3761,-121.4117,407
Peoria,IL,Illinois,40.752,-89.6154,253461
Turlock,CA,California,37.5053,-120.8588,104719
Huntsville,AL,Alabama,34.6981,-86.6412,317279
Upland,CA,California,34.1178,-117.6604,77348
York,PA,Pennsylvania,39.9651,-76.7315,236818
Canton,OH,Ohio,40.8078,-81.3676,277769
Vista,CA,California,33.1896,-117.2386,100659
Mauldin,SC,South Carolina,34.7821,-82.3032,149687
Española,NM,New Mexico,36.0044,-106.0686,10071
Columbia,MO,Missouri,38.9472,-92.3268,132806
Morro Bay,CA,California,35.3682,-120.8482,10592
Bunnell,FL,Florida,29.4193,-81.3231,2852
Lanesville,IN,Indiana,38.2394,-85.9821,745
Nicholasville,KY,Kentucky,37.8906,-84.5668,30549
Olathe,KS,Kansas,38.8833,-94.82,139216
Tuscaloosa,AL,Alabama,33.2348,-87.5268,149302
Lubeck,WV,West Virginia,39.2276,-81.6265,1104
Reading,PA,Pennsylvania,40.34,-75.9267,278693
Independence,MO,Missouri,39.0871,-94.3501,117139
Dawson,TX,Texas,31.8941,-96.7151,943
Fayetteville,NC,North Carolina,35.085,-78.9772,333366
Clarksburg,WV,West Virginia,39.2862,-80.3232,15743
New Haven,CT,Connecticut,41.3113,-72.9246,566683
Erie,PA,Pennsylvania,42.1167,-80.0733,189513
Plainview,TX,Texas,34.1911,-101.7235,20194
Costa Mesa,CA,California,33.6667,-117.9135,112958
Buffalo,NY,New York,42.9018,-78.8487,926607
Youngsville,LA,Louisiana,30.0963,-91.9968,14118
Fife,WA,Washington,47.2329,-122.3518,10345
North Miami,FL,Florida,25.9008,-80.1686,62468
Murfreesboro,TN,Tennessee,35.849,-86.4121,169243
Commerce,CA,California,33.9963,-118.1519,12738
Elbert,CO,Colorado,39.2189,-104.5404,220
Indio,CA,California,33.7346,-116.2346,367174
Provo,UT,Utah,40.2457,-111.6457,563884
Overland Park,KS,Kansas,38.887,-94.687,193412
Auburn,WV,West Virginia,39.0961,-80.8562,96
Pueblo,CO,Colorado,38.2701,-104.6114,142726
Seelyville,IN,Indiana,39.4936,-87.2667,1055
Lansing,MI,Michigan,42.7142,-84.5601,326380
Los Banos,CA,California,37.063,-120.8406,39443
Davie,FL,Florida,26.0789,-80.287,105594
College Station,TX,Texas,30.5852,-96.2959,203848
Birmingham,AL,Alabama,33.5279,-86.7971,753721
Corvallis,OR,Oregon,44.5698,-123.2779,66090
Murrieta,CA,California,33.5719,-117.1909,524133
Pomona,CA,California,34.0585,-117.7626,151124
Hickory,NC,North Carolina,35.741,-81.3223,211042
Conneaut,OH,Ohio,41.9275,-80.5685,12524
Venedy,IL,Illinois,38.3966,-89.6456,145
Sheboygan,WI,Wisconsin,43.7403,-87.7316,70234
Kent,WA,Washington,47.3887,-122.2128,130038
Gilbert,AZ,Arizona,33.31,-111.7463,248349
San Ramon,CA,California,37.7624,-121.9365,81344
Santa Clarita,CA,California,34.4175,-118.4964,260999
Lafayette,LA,Louisiana,30.2082,-92.0325,263551
Macon,GA,Georgia,32.8065,-83.6974,153026
Wichita Falls,TX,Texas,33.9072,-98.5291,100005
Springfield,IL,Illinois,39.7709,-89.654,162348
Velda Village Hills,MO,Missouri,38.6923,-90.2877,869
Inwood,NY,New York,40.6219,-73.7506,9804
Westminster,CO,Colorado,39.8837,-105.0624,114832
Clarksville,TN,Tennessee,36.5692,-87.3413,183798
Lancaster,CA,California,34.6935,-118.1753,353619
Mifflin,OH,Ohio,40.7734,-82.3639,190
Tucson,AZ,Arizona,32.1541,-110.8787,883127
Spokane,WA,Washington,47.6671,-117.433,426849
Torrance,CA,California,33.8346,-118.3416,144430
Moore,OK,Oklahoma,35.3293,-97.4757,61683
Vandalia,OH,Ohio,39.8791,-84.193,15021
Newark,NJ,New Jersey,40.7245,-74.1725,281917
Charleston,SC,South Carolina,32.8168,-79.9687,645413
St. Cloud,MN,Minnesota,45.534,-94.1718,118139
Conway,SC,South Carolina,33.8401,-79.0431,24747
Bend,OR,Oregon,44.0563,-121.3095,107460
Vilas,SD,South Dakota,44.0084,-97.5956,21
Pawtucket,RI,Rhode Island,41.8744,-71.3743,71821
Pineland,TX,Texas,31.2467,-93.9744,1089
Stanford,MT,Montana,47.1521,-110.219,260
Mesa,AZ,Arizona,33.4015,-111.7178,508918
Minnesota City,MN,Minnesota,44.0923,-91.75,155
East Bernstadt,KY,Kentucky,37.1923,-84.1209,858
New Bedford,MA,Massachusetts,41.6697,-70.9428,149570
North Bellmore,NY,New York,40.6904,-73.539,21422
Temple,TX,Texas,31.1068,-97.3891,106332
Twin Lakes,VA,Virginia,38.2504,-78.4417,1522
San Mateo,CA,California,37.5522,-122.3121,103619
Florin,CA,California,38.4832,-121.4043,48839
Youngstown,OH,Ohio,41.0993,-80.6463,363541
Logan,UT,Utah,41.7399,-111.8422,106319
Cayucos,CA,California,35.4375,-120.8846,2228
Warren,MI,Michigan,42.4934,-83.027,134188
Rochester,NY,New York,43.168,-77.6162,720189
Norwalk,IA,Iowa,41.4895,-93.6913,11467
Sunrise Manor,NV,Nevada,36.1783,-115.0487,198187
The Woodlands,TX,Texas,30.1738,-95.5134,294943
Chester Heights,PA,Pennsylvania,39.8927,-75.4698,2654
Gresham,OR,Oregon,45.5021,-122.4413,110456
Ponce,PR,Puerto Rico,18.0127,-66.6212,118641
Cooksville,IL,Illinois,40.5428,-88.7146,164
West Palm Beach,FL,Florida,26.7469,-80.132,111006
Anchorage,AK,Alaska,61.1508,-149.1091,248902
Burlington,MI,Michigan,42.1047,-85.0776,299
Ontario,CA,California,34.0393,-117.6064,178194
Simi Valley,CA,California,34.2663,-118.749,126782
Jefferson City,MO,Missouri,38.5676,-92.1759,42670
High Point,NC,North Carolina,35.991,-79.9937,173324
Champaign,IL,Illinois,40.1142,-88.2737,152940
Ravia,OK,Oklahoma,34.2411,-96.7564,557
Lockport,NY,New York,43.1698,-78.6956,20420
Metuchen,NJ,New Jersey,40.5424,-74.3628,14289
Eugene,OR,Oregon,44.0564,-123.1174,270013
Land O' Lakes,FL,Florida,28.2075,-82.4476,38730
Harrisville,MI,Michigan,44.6575,-83.2945,507
Tinley Park,IL,Illinois,41.567,-87.8049,56082
Columbia,SC,South Carolina,34.0378,-80.9036,609689
Springfield,OR,Oregon,44.0538,-122.9811,62729
Moss Bluff,LA,Louisiana,30.3039,-93.2051,10352
El Cajon,CA,California,32.8017,-116.9604,103249
Dell,AR,Arkansas,35.8572,-90.0341,207
Albany,NY,New York,42.6664,-73.7987,590823
Albuquerque,NM,New Mexico,35.1054,-106.6465,762853
Baldwin,FL,Florida,30.3052,-81.9744,1556
Cudahy,CA,California,33.9631,-118.183,23606
Portales,NM,New Mexico,34.1754,-103.3565,11713
Aguadilla,PR,Puerto Rico,18.4382,-67.1537,260331
Knoxville,TN,Tennessee,35.9692,-83.9496,603685
Stockton,CA,California,37.9765,-121.3109,394919
Greeley,CO,Colorado,40.4152,-104.7706,134417
Pottstown,PA,Pennsylvania,40.2508,-75.6445,115413
Copperas Cove,TX,Texas,31.1192,-97.914,32960
Ukiah,CA,California,39.1464,-123.2105,15963
Victorville,CA,California,34.5277,-117.3536,350275
Stony Brook,NY,New York,40.9061,-73.1278,11785
South Lyon,MI,Michigan,42.4614,-83.6526,128071
Raeford,NC,North Carolina,34.9809,-79.2291,4943
Allen,TX,Texas,33.1088,-96.6735,104040
Madison,WI,Wisconsin,43.0822,-89.393,445499
Pearland,TX,Texas,29.5581,-95.3218,125817
South Bend,IN,Indiana,41.6767,-86.2696,285569
Waterloo,IA,Iowa,42.4918,-92.3522,115266
Belmont,WV,West Virginia,39.3787,-81.2634,965
Charleston,WV,West Virginia,38.3484,-81.6322,141640
Vicksburg,MS,Mississippi,32.3173,-90.8868,22045
Hoytville,OH,Ohio,41.19,-83.7843,318
Mesquite,TX,Texas,32.7602,-96.5865,142429
Frankfort,KY,Kentucky,38.1924,-84.8643,27705
Anaheim,CA,California,33.839,-117.8574,353085
Round Lake Beach,IL,Illinois,42.3791,-88.0811,287012
Aurora,IL,Illinois,41.7638,-88.2902,199326
Oregon City,OR,Oregon,45.3418,-122.5924,37057
Greenville,NC,North Carolina,35.5943,-77.376,129374
Norwich,CT,Connecticut,41.5495,-72.0882,201726
Carson City,NV,Nevada,39.1511,-119.7476,55244
Brea,CA,California,33.9254,-117.8655,44182
Whittlesey,WI,Wisconsin,45.2206,-90.3232,122
Lockhart,TX,Texas,29.8785,-97.6831,13782
Mobile,AL,Alabama,30.6782,-88.1162,328610
Fayetteville,AR,Arkansas,36.0714,-94.1661,350995
Gulfport,MS,Mississippi,30.4274,-89.0704,230156
Frisco,TX,Texas,33.156,-96.8216,188387
Huntington Beach,CA,California,33.696,-118.0018,199778
Punta Gorda,FL,Florida,26.8941,-82.0513,20044
Daly City,CA,California,37.6862,-122.4685,107197
Elmo,MT,Montana,47.829,-114.3484,252
North Charleston,SC,South Carolina,32.9067,-80.0722,113880
Syracuse,NY,New York,43.0407,-76.1437,407942
Lehigh Acres,FL,Florida,26.612,-81.6388,124523
Temecula,CA,California,33.4928,-117.1315,113117
Durham,NC,North Carolina,35.9792,-78.9022,391371
Plantation,FL,Florida,26.1259,-80.2617,94366
Saginaw,MI,Michigan,43.4199,-83.9501,118845
